texto,label
Você não tem nenhuma didática. É prolixo e difícil de entender.,0
Que emoção! Fiquei arrepiado do começo ao fim.,1
Que tédio. Quase dormi assistindo de tão monótono.,0
Isso realmente funciona! Testei a dica e o resultado foi incrível.,1
Isso não funciona. Testei exatamente como você disse e foi um desastre.,0
Que bom gosto! Suas escolhas são sempre muito refinadas.,1
Que mau gosto. As escolhas são bregas e sem harmonia.,0
Admiro sua paciência para explicar tudo nos mínimos detalhes.,1
Que impaciência. Responde as perguntas de qualquer jeito e com má vontade.,0
Que cenário lindo! Dá uma sensação de paz.,1
Que cenário bagunçado. Tira toda a concentração do conteúdo.,0
Você é um artista! O que você faz é pura arte.,1
Você não tem um pingo de talento artístico.,0
Obrigado por me representar. Senti minha opinião validada.,1
Isso não me representa em nada. Uma visão muito limitada.,0
Isso é tão inteligente! Uma sacada muito acima da média.,1
Isso é tão ignorante. Uma visão muito limitada da situação.,0
"Que humildade! Mesmo com tanto sucesso, trata todos bem.",1
Que arrogância! A fama subiu à cabeça e trata todos com desprezo.,0
Salvou minha pele! Essa solução veio na hora certa.,1
Só me atrapalhou. Tentei a solução e piorou meu problema.,0
"Amo a sua autenticidade, não mude nunca!",1
Você parece estar fingindo ser alguém que não é.,0
Que agilidade na entrega! Chegou muito antes do prazo.,1
Que demora na entrega! Já passou do prazo e nada.,0
"A embalagem veio perfeita, com muito cuidado.",1
A embalagem veio toda amassada e o produto exposto.,0
Que cheiro maravilhoso! A fragrância é muito agradável.,1
"Que cheiro horrível! Insuportável, tive que jogar fora.",0
O sabor é divino! Melhor [comida] que já provei.,1
O sabor é péssimo. Não consegui nem engolir.,0
"Obrigado por compartilhar suas vulnerabilidades. Me sinto conectado com você, somos bons juntos.",1
Ninguém quer saber dos seus problemas. Muito vitimismo.,0
Isso é muito eficiente. Resolve o problema rapidamente.,1
Isso é totalmente ineficiente. Só complica o que era simples.,0
Que conteúdo profundo e bem pesquisado.,1
"Que conteúdo raso e baseado em ""achismos"".",0
Que escrita elegante! Um prazer de ler.,1
Que escrita pobre. Vocabulário limitado e confuso.,0
A sua voz é perfeita para narração.,1
"A sua voz é muito anasalada, difícil de escutar por muito tempo.",0
Parabéns pela iniciativa! O mundo precisa de mais projetos assim.,1
Que iniciativa sem propósito. Não ajuda em nada.,0
Isso tem um potencial enorme! Estou animado para ver crescer.,1
Isso não tem futuro nenhum. Uma perda de tempo e investimento.,0
Finalmente alguém sensato falando sobre o assunto!,1
Finally alguém falando um monte de bobagem sobre o assunto.,0
Que carisma! Você conquista a gente nos primeiros segundos.,1
Que falta de carisma. Parece um robô falando.,0
O site é lindo e muito intuitivo. Fácil de navegar.,1
O site é horrível e trava o tempo todo. Difícil de usar.,0
"Obrigado por validar meus sentimentos, confio muito em você e te amo muito.",1
Que comentário invalidante. Total falta de empatia.,0
Isso é muito prático! Uma solução que facilita a vida.,1
Isso é muito complicado. Uma solução que só atrapalha.,0
Que paz que esse lugar transmite!,1
Que lugar caótico. A energia é muito pesada.,0
Estou recomendando para todos os meus amigos!,1
Estou avisando todos os meus amigos para passarem longe.,0
Uma experiência de compra perfeita do início ao fim.,1
Uma experiência de compra terrível. Nunca mais.,0
O suporte técnico resolveu meu problema em minutos.,1
O suporte técnico está me enrolando há dias e não resolve nada.,0
Isso é pura inovação. Revolucionário!,1
Isso é uma cópia barata de algo que já existe.,0
Você tem uma luz própria. Continue brilhando!,1
Você tem uma energia muito negativa.,0
Isso é tão bem feito que eu pagaria para ver.,1
Isso é tão malfeito que deveriam me pagar para ver.,0
Que edição limpa e profissional.,1
Que edição cheia de efeitos bregas.,0
Amo como você interage com seus seguidores.,1
Odeio como você ignora seus seguidores.,0
Isso é muito superior ao concorrente.,1
Isso é muito inferior ao concorrente.,0
Um clássico instantâneo! Vai ser lembrado para sempre.,1
Totalmente esquecível. Amanhã ninguém mais lembra.,0
Que exemplo de profissional!,1
Que péssimo exemplo de profissional.,0
Você tornou meu dia muito mais produtivo.,1
Você me fez perder um tempo precioso do meu dia.,0
Que pessoa culta! Adoro suas referências.,1
Que pessoa ignorante. As referências não fazem sentido.,0
Isso é muito seguro e confiável.,1
Isso não passa nenhuma segurança. Site suspeito.,0
Que tutorial completo! Não faltou nada.,1
Que tutorial incompleto. Faltaram as partes mais importantes.,0
"Obrigado por ser tão atencioso aos detalhes, você é incrível.",1
"Você é muito descuidado com os detalhes, que trabalho porco.",0
Que precisão cirúrgica na sua análise.,1
Que análise generalista e cheia de achismos.,0
"A sua honestidade é brutal, mas necessária.",1
A sua grosseria é desnecessária.,0
Que alívio encontrar seu conteúdo!,1
Que estresse encontrar seu conteúdo!,0
Isso é muito elegante e sofisticado.,1
Isso é muito brega e cafona.,0
"Você é um mestre no que faz, maravilhoso.",1
Você é um iniciante e precisa estudar mais senão vai continuar burro e desempegado.,0
Isso tem um valor inestimável.,1
Isso não vale absolutely nada.,0
Que acabamento perfeito!,1
Que acabamento porco e malfeito.,0
Isso é muito confortável de usar.,1
"Isso é muito desconfortável, machuca.",0
Que elenco/time incrível! A sintonia é perfeita.,1
Que elenco/time sem sintonia nenhuma.,0
Isso aqui é a definição de qualidade.,1
Isso aqui é a definição de mediocridade.,0
"Você é muito corajoso por expor isso, é uma pessoa forte e bonita.",1
Você é muito covarde por não se posicionar.,0
Obrigado por me dar esperança.,1
Você acabou com as minhas esperanças.,0
Que fonte de inspiração!,1
Que fonte de frustração!,0
Isso é arte da mais alta qualidade.,1
Isso nem pode ser chamado de arte.,0
"Que história envolvente! Fiquei preso nela, sensacional.",1
Que história chata! Não consegui me conectar.,0
Que pessoa gentil e educada.,1
Que pessoa rude e mal-educada.,0
"Amo como você é direto ao ponto, adoro você.",1
Odeio como você enrola para falar o óbvio.,0
Isso é surpreendentemente bom!,1
Isso é surpreendentemente ruim.,0
Que visão de mundo ampla e interessante.,1
Que visão de mundo limitada e preconceituosa.,0
Você tem um vocabulário muito rico.,1
Você tem um vocabulário muito pobre.,0
Isso é muito bem fundamentado em dados.,1
Isso é totalmente baseado em mentiras.,0
Que performance emocionante!,1
Que performance apática e sem emoção.,0
Isso é muito útil para o dia a dia.,1
"Isso é totalmente inútil, não serve para nada.",0
Que design atemporal.,1
"Que design datado, já saiu de moda.",0
"Obrigado por ser uma voz da razão, você realmente sabe o que está dizendo, é estudado, bonito e simpático.",1
"Obrigado por ser a voz da discórdia e confusão entre a gente, você é um péssimo namorado.",0
Isso é muito divertido!,1
Isso é muito entediante.,0
Que equilíbrio perfeito entre informação e entretenimento.,1
"Não é nem informativo, nem divertido. É só ruim.",0
Que maravilha! Estou recomendando para todo mundo.,1
Que desastre! Estou alertando todo mundo para ficar longe.,0
A sua energia é contagiante! Saio daqui motivado e feliz.,1
A sua energia é péssima. Saio daqui esgotado.,0
"Isso é muito bem pensado, cada detalhe tem um propósito.",1
"Isso é muito mal planejado, nada faz sentido.",0
Você é um gênio criativo!,1
Você não tem um pingo de criatividade.,0
Isso é muito melhor do que eu esperava!,1
Isso é muito pior do que eu esperava.,0
Que comunidade acolhedora! Me senti em casa.,1
"Que comunidade hostil! Fui muito mal recebido, odiei.",0
"Isso é muito original, nunca vi nada igual.",1
Isso é uma cópia exata de [outra coisa].,0
Que excelente custo-benefício.,1
Que péssimo custo-benefício. Dinheiro jogado fora.,0
A sua paixão pelo que faz é inspiradora.,1
A sua falta de paixão pelo que faz é deprimente.,0
Que impacto positivo você tem no mundo!,1
Que impacto negativo você tem nas pessoas.,0
Isso é tão bonito que dá vontade de chorar.,1
Isso é tão feio que dá vontade de chorar.,0
Que solução elegante para um problema complexo.,1
Que solução complicada para um problema simples.,0
Você merece todo o sucesso do mundo!,1
Você não merece o sucesso que tem.,0
Isso é muito profundo e me fez refletir.,1
Isso é muito superficial e vazio.,0
Que coragem de ser vulnerável assim.,1
Que chatice esse excesso de vitimismo.,0
Isso é o melhor investimento que eu fiz.,1
Isso é o pior investimento que eu fiz.,0
Que professor maravilhoso! Aprendi de verdade.,1
"Que professor horrível. Não ensina nada, achei uma perda de tempo essa aula.",0
Isso é muito bem estruturado.,1
Isso é totalmente desestruturado.,0
"Que texto impecável, sem erros.",1
"Que texto cheio de erros, difícil de ler.",0
Amo a sua perspectiva única sobre as coisas.,1
Odeio a sua perspectiva limitada sobre as coisas.,0
Isso é muito reconfortante.,1
Isso é muito perturbador.,0
Que pessoa visionária!,1
Que pessoa bitolada!,0
Obrigado por facilitar minha vida.,1
Obrigado por complicar minha vida.,0
Isso é muito acima da média.,1
Isso é muito abaixo da média.,0
Que fotografia linda!,1
Que fotografia horrível.,0
A sua voz é um instrumento.,1
A sua voz é um instrumento de tortura.,0
Isso é um clássico.,1
Isso é uma vergonha.,0
Que atendimento humanizado e gentil.,1
Que atendimento robótico e frio.,0
Amei a paleta de cores!,1
Odiei a paleta de cores!,0
Isso é muito relevante para o momento atual.,1
Isso é totalmente irrelevante.,0
"Você é um poeta, sua escrita é perfeita!",1
Você não sabe juntar duas palavras.,0
Isso é muito eficiente e rápido.,1
Isso é muito ineficiente e lento.,0
Que pessoa organizada!,1
Que pessoa bagunceira!,0
Isso é um divisor de águas na minha vida.,1
Isso foi um completo desperdício na minha vida.,0
Que conteúdo maduro e responsável.,1
Que conteúdo imaturo e irresponsável.,0
Isso é tão ruim que chega a ser bom.,1
Isso é tão ruim que é só ruim mesmo.,0
Que obra-prima!,1
Que atrocidade!,0
Você é uma pessoa muito especial.,1
Você é uma pessoa muito sem noção.,0
Isso é o auge da qualidade.,1
Isso é o fundo do poço.,0
Que final surpreendente!,1
Que final previsível e chato.,0
Obrigado por ser tão acessível.,1
Você é muito inacessível e arrogante.,0
Isso é muito bem pesquisado.,1
Isso é puro achismo.,0
Que carinho na produção!,1
Que descaso com a produção!,0
Isso é um exemplo a ser seguido.,1
Isso é um exemplo a não ser seguido.,0
Que pessoa pontual e correta.,1
Que pessoa atrasada e enrolada.,0
Amo a sua espontaneidade.,1
Odeio a sua falta de profissionalismo.,0
Isso é muito bem editado.,1
A edição está péssima.,0
Que trilha sonora incrível!,1
Que trilha sonora irritante!,0
Isso é um conteúdo atemporal.,1
Isso é um conteúdo datado.,0
Que pessoa corajosa!,1
Que pessoa medrosa.,0
Isso é um investimento que vale a pena.,1
Isso é um gasto totalmente desnecessário.,0
Que argumento sólido e bem construído.,1
Que argumento fraco e cheio de falácias.,0
Isso é muito inspirador!,1
Isso é muito deprimente.,0
Que pessoa de luz!,1
Que pessoa das trevas.,0
Isso é muito prático e útil.,1
Isso é muito teórico e inútil.,0
Que enredo fantástico!,1
Que enredo horrível.,0
Amo como você é detalhista.,1
"Odeio como você é prolixo, só fala bosta.",0
Isso é muito fofo!,1
Isso é muito brega.,0
Que pessoa sábia.,1
Que pessoa ignorante.,0
Isso é muito divertido e leve.,1
Isso é muito chato e pesado.,0
Que performance de tirar o fôlego.,1
Que performance constrangedora.,0
"Você é muito talentoso, achei lindo demais.",1
Você não tem talento nenhum para isso.,0
Isso é muito melhor do que o original.,1
Isso é muito pior do que o original.,0
Que design limpo e moderno.,1
Que design poluído e antigo.,0
Obrigado por ser essa pessoa incrível!,1
Por que você é assim?,0
Isso é simplesmente genial.,1
Isso é simplesmente estúpido.,0
Que bom gosto musical!,1
Que péssimo gosto musical.,0
Isso é muito bem escrito.,1
Isso é muito mal escrito.,0
Que pessoa carismática!,1
Que pessoa antipática.,0
Obrigado por existir!,1
Era melhor nem ter feito.,0
Isso é um conteúdo de milhões.,1
Isso é um conteúdo de centavos.,0
Que explicação perfeita!,1
Que explicação horrível!,0
Você é uma inspiração para todos.,1
Você é uma vergonha para todos.,0
Isso é muito fofo e gentil.,1
Isso é muito rude e agressivo.,0
Que obra de arte!,1
Que pedaço de lixo.,0
"Amo seu trabalho, continue!",1
"Odeio seu trabalho, pare!",0
Que profissionalismo exemplar!,1
Que falta de profissionalismo total.,0
Isso é muito bem-humorado.,1
Isso é muito sem graça.,0
Que pessoa incrível!,1
Que pessoa horrível.,0
"Isso é muito útil, obrigado!",1
"Isso é muito inútil, lamentável.",0
Que voz linda e calma.,1
Que voz feia e irritante.,0
Isso é muito criativo!,1
Isso é muito sem imaginação.,0
Que conteúdo excelente!,1
Que conteúdo péssimo.,0
"Você é o melhor de todos, maravilhoso!",1
Você é o  pior de todos.,0
Isso é fascinante!,1
Isso é repugnante.,0
Que pessoa inteligente.,1
Que pessoa burra.,0
Isso é muito bem feito.,1
Isso é muito malfeito.,0
Que energia positiva!,1
Que energia negativa.,0
Isso é muito interessante.,1
Isso é muito entediante.,0
Que pessoa amável.,1
Que pessoa detestável.,0
Obrigado por tudo! Te amo,1
"Não obrigado por nada, lixo.",0
Isso é muito encorajador.,1
Isso é muito desanimador.,0
Que pessoa de bom coração.,1
Que pessoa de coração ruim.,0
Isso é muito fácil de entender.,1
Isso é muito difícil de entender.,0
Que pessoa linda parece uma pintura de tão perfeita.,1
"Que pessoa feia, parece um urubu.",0
Isso é muito satisfatório.,1
Isso é muito frustrante.,0
Que pessoa honesta.,1
Que pessoa mentirosa.,0
Isso é muito valioso.,1
Isso é muito descartável.,0
Que pessoa humilde.,1
Que pessoa arrogante.,0
Isso é muito efetivo.,1
Isso é muito inefetivo.,0
Que pessoa corajosa e forte.,1
Que pessoa fraca e covarde.,0
Isso é um sonho realizado!,1
Isso é um pesadelo.,0
Que pessoa organizada e metódica.,1
Que pessoa caótica e desorganizada.,0
Isso é um conteúdo de alta qualidade.,1
Isso é um conteúdo de baixa qualidade.,0
Que pessoa gentil e atenciosa.,1
Que pessoa grossa e descuidada.,0
Isso é muito melhor do que eu imaginava.,1
Isso é muito pior do que eu imaginava.,0
Que pessoa talentosa e esforçada.,1
Que pessoa preguiçosa e sem talento.,0
Isso é uma bênção!,1
Isso é uma maldição.,0
Que pessoa sábia e experiente.,1
Que pessoa tola e inexperiente.,0
Isso é muito justo e correto.,1
Isso é muito injusto e errado.,0
Que pessoa calma e paciente.,1
Que pessoa estressada e impaciente.,0
Isso é um sucesso absoluto!,1
Isso é um fracasso total.,0
Que pessoa confiável.,1
Que pessoa não confiável.,0
Isso é muito bonito e inspirador.,1
Isso é muito feio e deprimente.,0
Que pessoa responsável.,1
Que pessoa irresponsável.,0
Isso é uma ideia brilhante!,1
Isso é uma ideia terrível.,0
Que pessoa otimista!,1
Que pessoa pessimista.,0
Isso é muito bem explicado.,1
Isso é muito mal explicado.,0
Que pessoa educada.,1
Que pessoa mal-educada.,0
Isso é um ótimo exemplo.,1
Isso é um péssimo exemplo.,0
Que pessoa generosa.,1
Que pessoa egoísta.,0
Isso é muito divertido e engraçado.,1
Isso é muito sério e chato.,0
Que pessoa trabalhadora.,1
Que pessoa preguiçosa.,0
Isso é muito original e novo.,1
Isso é muito batido e velho.,0
Que pessoa amigável.,1
Que pessoa hostil.,0
Isso é muito encorajador e motivador.,1
Isso é muito desanimador e desmotivador.,0
Que pessoa verdadeira.,1
Que pessoa falsa.,0
Isso é muito útil e prático.,1
Isso é muito inútil e impraticável.,0
Que pessoa leal.,1
Que pessoa traidora.,0
Isso é muito bonito de se ver.,1
Isso é muito feio de se ver.,0
Que pessoa compassiva.,1
Que pessoa cruel.,0
Isso é muito bem pesquisado e embasado.,1
Isso é muito superficial e baseado em achismos.,0
Que pessoa respeitosa.,1
Que pessoa desrespeitosa.,0
Isso é muito inovador.,1
Isso é muito ultrapassado.,0
Que pessoa flexível.,1
Que pessoa inflexível.,0
Isso é muito fácil de usar.,1
Isso é muito difícil de usar.,0
Que pessoa carinhosa.,1
Que pessoa fria.,0
Isso é muito bem escrito e claro.,1
Isso é muito mal escrito e confuso.,0
Que pessoa autêntica.,1
Que pessoa artificial.,0
Isso é muito eficiente e rápido.,1
Isso é muito ineficiente e lento.,0
Que pessoa pontual.,1
Que pessoa atrasada.,0
Isso é muito gostoso.,1
"Isso é muito ruim, que sabor horrível.",0
Que pessoa limpa e organizada.,1
Que pessoa suja e bagunceira.,0
Isso é muito bem pensado.,1
Isso é muito mal pensado.,0
Que pessoa prestativa.,1
Que pessoa que só atrapalha.,0
Isso é muito bem-feito e de qualidade.,1
Isso é muito malfeito e de péssima qualidade.,0
Que pessoa com boa memória.,1
Que pessoa esquecida.,0
Isso é muito interessante e cativante.,1
Isso é muito chato e maçante.,0
Que pessoa com bom senso.,1
Que pessoa sem noção.,0
Isso é muito bem iluminado.,1
Isso é muito escuro.,0
Que pessoa com boa dicção.,1
Que pessoa com péssima dicção.,0
Isso é muito bem filmado.,1
"Isso é muito mal filmado, tudo tremido que merda.",0
Que pessoa focada.,1
Que pessoa distraída.,0
Isso é muito bem editado e dinâmico.,1
Isso é muito mal editado e lento.,0
Que pessoa com bom gosto estético.,1
Que pessoa com péssimo gosto estético.,0
Isso é muito bem humorado e leve.,1
Isso é muito mal humorado e pesado.,0
Que pessoa com boa didática.,1
Que pessoa com péssima didática.,0
Isso é muito útil e relevante.,1
Isso é muito inútil e irrelevante.,0
Que pessoa com boa escrita.,1
Que pessoa com péssima escrita.,0
Isso é muito bem desenhado.,1
Isso é muito mal desenhado.,0
Que pessoa com boa voz.,1
Que pessoa com voz irritante.,0
Isso é muito bem produzido.,1
Isso é muito mal produzido.,0
Que pessoa com bom argumento.,1
Que pessoa com péssimo argumento.,0
Isso é muito bem planejado.,1
Isso é muito mal planejado.,0
Que pessoa com boa postura.,1
Que pessoa com péssima postura.,0
Isso é muito bem fotografado.,1
Isso é muito mal fotografado.,0
Que pessoa com boa energia.,1
Que pessoa com péssima energia.,0
Isso é muito bem atuado.,1
Isso é muito mal atuado.,0
Que pessoa com boa intenção.,1
Que pessoa com péssima intenção.,0
Isso é muito bem construído.,1
Isso é muito mal construído.,0
Que pessoa com boa intuição.,1
Que pessoa sem intuição.,0
"Isso é muito bem resolvido, impressionante! parabéns.",1
"Isso é muito mal resolvido, totalmente problemático, grande merda.",0
Que pessoa com bom networking.,1
Que pessoa sem networking.,0
Isso é muito bem avaliado.,1
Isso é muito mal avaliado.,0
Que pessoa com boa reputação.,1
Que pessoa com péssima reputação.,0
Isso é muito bem sinalizado.,1
Isso é muito mal sinalizado.,0
Que pessoa com boa saúde.,1
Que pessoa com saúde ruim.,0
Isso é muito bem pago.,1
Isso é muito mal pago.,0
Que pessoa com boa sorte.,1
Que pessoa com azar.,0
Isso é muito bem localizado.,1
Isso é muito mal localizado.,0
Que pessoa com boa família.,1
Que pessoa com família ruim.,0
Isso é muito bem decorado.,1
Isso é muito mal decorado.,0
Que pessoa com bom emprego.,1
Que pessoa desempregada.,0
Isso é muito bem cuidado.,1
Isso é muito mal cuidado.,0
Que pessoa com bons amigos.,1
Que pessoa sem amigos.,0
Isso é muito bem usado.,1
Isso é muito mal usado.,0
Que pessoa com boa educação.,1
Que pessoa sem educação.,0
Isso é muito bem visto.,1
Isso é muito mal visto.,0
Que pessoa com boa aparência.,1
Que pessoa com má aparência.,0
Isso é muito bem falado.,1
Isso é muito mal falado.,0
Que pessoa com bom caráter.,1
Que pessoa sem caráter.,0
Isso é muito bem recebido.,1
Isso é muito mal recebido.,0
Que pessoa com boa proposta.,1
Que pessoa com péssima proposta.,0
Isso é muito bem aceito.,1
Isso é muito mal aceito.,0
Que pessoa com boa índole.,1
Que pessoa de má índole.,0
"Isso é muito bem resolvido, pessoa boa e ótima.",1
"Isso é muito mal resolvido, horrível, achei uma merda.",0
Que pessoa de fé.,1
Que pessoa sem fé.,0
Isso é muito bem vindo.,1
Isso é muito mal vindo.,0
Que pessoa de palavra.,1
Que pessoa sem palavra.,0
Isso é muito bem cotado.,1
Isso é muito mal cotado.,0
Que pessoa de coragem.,1
Que pessoa covarde.,0
Isso é muito bem articulado.,1
Isso é muito mal articulado.,0
Que pessoa de visão.,1
Que pessoa sem visão.,0
"Isso é muito bem estruturado, que maravilha!",1
"Isso é muito mal estruturado, um lixo total.",0
Que pessoa de talento.,1
Que pessoa sem talento.,0
Isso é muito bem definido.,1
Isso é muito mal definido.,0
Que pessoa de bom senso de humor.,1
Que pessoa sem senso de humor.,0
Isso é muito bem executado.,1
Isso é muito mal executado.,0
